record_id,road_name,contractor_name,allotted_budget_inr,amount_used_inr,budget_note,materials_used,audit_1_date,audit_1_status,audit_1_remarks,audit_2_date,audit_2_status,audit_2_remarks,audit_3_date,audit_3_status,audit_3_remarks,construction_start_date,construction_end_date,date_opened_to_public,last_maintenance_date
RW043,Kolathur Link Road,Arunachalam Road Works,68300000,63071577,Within budget,Rigid pavement PQC M40 grade | Dowel bars (32mm dia MS) | Tie bars (16mm dia) | Joint sealant (Polyurethane) | Sub-base GSB (Granular Sub-Base) | Drainage cells (HDPE honeycomb) | Pre-fabricated expansion joints | Solar-powered road markers,18-Dec-2019,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,25-Mar-2020,Passed,Joints sealed properly. No cracking observed. Road certified for use.,02-Jan-2021,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,25-Jul-2019,22-Dec-2020,13-Jan-2021,10-Feb-2022
RW044,Ambedkar Junction Road,Suresh & Sons Civil Works,79400000,74580559,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,21-Jan-2020,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,25-May-2020,Conditional Pass,Reflective road studs missing at 2 km mark. Install and re-inspect. Rest of road approved.,15-Feb-2021,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",30-Jul-2019,16-Jan-2021,26-Jan-2021,04-Dec-2022
RW045,Rajiv Salai,South India Roads Ltd.,58300000,60400000,"Overrun of Rs.2,100,000 approved. Reason: Unexpected soil stabilisation requirement",Lime-treated soil (sub-base) | Wet Mix Macadam (WMM) | Bituminous Concrete (BC) Grade 1 | Fly ash bricks (side drains) | White retro-reflective paint | Flexible delineators | RCC manholes | Geotextile fabric,01-Mar-2020,Passed,All manhole covers flush with road surface. No tripping hazards found.,07-Apr-2020,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",25-Apr-2021,Passed,Geotextile fabric placement verified. No displacement observed.,02-Nov-2019,21-Mar-2021,19-Apr-2021,13-Oct-2021
RW046,Chromepet Outer Ring Road,Bharath Infra Projects Pvt. Ltd.,53300000,49696574,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,06-Dec-2020,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,02-Mar-2021,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",12-Nov-2021,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,17-Sep-2020,03-Oct-2021,16-Oct-2021,30-Sep-2023
RW047,Thiruvalluvar Nagar Road,Sri Balaji Infrastructure Pvt. Ltd.,49800000,46470051,Within budget,Rigid pavement PQC M40 grade | Dowel bars (32mm dia MS) | Tie bars (16mm dia) | Joint sealant (Polyurethane) | Sub-base GSB (Granular Sub-Base) | Drainage cells (HDPE honeycomb) | Pre-fabricated expansion joints | Solar-powered road markers,18-Jun-2019,Passed,Sub-grade moisture content within limits. No swelling observed.,31-Aug-2019,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,06-Oct-2019,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,08-Mar-2019,02-Oct-2019,30-Oct-2019,20-Jan-2022
RW048,Guindy Avenue,Durai Constructions & Co.,14100000,12592225,Within budget,Fly ash concrete (M25) | Bottom ash sub-base | PVC expansion strips | Silica fume admixture | Micro-silica blended cement | Reinforced earth retaining walls | Concrete interlocking pavers (footpath) | Cast iron manhole covers (Class D),16-Jul-2024,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,23-Sep-2024,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",07-Dec-2024,Passed,Crash barrier installation inspected. Meets MORTH standards.,01-Mar-2024,24-Oct-2024,01-Dec-2024,02-Apr-2025
RW049,Bharathiyar Canal Road,Coastal Roads & Builders Ltd.,52200000,48781939,Within budget,Bituminous Macadam (BM) Grade 2 | Dense Bituminous Macadam (DBM) | Steel reinforcement bars (Fe500) | Portland Pozzolana Cement (PPC) | Coarse aggregates (20mm & 40mm) | Kerb stones (Granite) | Thermoplastic road marking paint | Reflective studs,13-Oct-2019,Passed,Geotextile fabric placement verified. No displacement observed.,30-Jan-2020,Conditional Pass,Speed breaker height at 3rd location slightly above tolerance. Grind and re-inspect.,01-Feb-2020,Passed,Crash barrier installation inspected. Meets MORTH standards.,07-Jul-2019,30-Jan-2020,10-Feb-2020,02-Jul-2022
RW050,Egmore Nagar Road,Pandian Road Builders,52600000,48331068,Within budget,Concrete M30 grade | River sand (Zone II) | Coarse aggregate (20mm) | HDPE drainage pipes | Pre-cast kerb stones | Anti-skid bituminous surface dressing | Solar road studs | Stormwater drain gratings (Cast iron),10-Dec-2021,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",08-Apr-2022,Passed,Load deflection within permissible limits as per IRC:58-2015.,21-May-2022,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,20-Aug-2021,15-May-2022,20-Jun-2022,25-Aug-2023
RW051,Patel Outer Ring Road,Durai Constructions & Co.,40200000,34822406,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,29-Aug-2024,Failed,Concrete surface shows honeycombing near culvert. Grouting and repair directed.,09-Sep-2024,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",20-Nov-2024,Passed,Crash barrier installation inspected. Meets MORTH standards.,07-Nov-2023,25-Oct-2024,04-Nov-2024,07-Mar-2025
RW052,Ambedkar Ring Road,Tamil Nadu Road Dev. Corp.,64200000,57158805,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,16-Oct-2019,Failed,Riding quality index below acceptable value. Surface reworking required.,24-Nov-2019,Passed,Drainage channels functional. Road markings and signage verified.,23-Jan-2020,Passed,Crash barrier installation inspected. Meets MORTH standards.,06-Sep-2019,19-Dec-2019,13-Jan-2020,08-Apr-2022
RW053,Bhagat Singh Avenue,Arjun Construction Group,37800000,33576964,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,31-Oct-2021,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,30-Jan-2022,Passed,Riding quality index satisfactory. Surface texture depth adequate.,08-Apr-2022,Passed,Joints sealed properly. No cracking observed. Road certified for use.,25-Aug-2021,27-Mar-2022,05-May-2022,18-Feb-2024
RW054,Valasaravakkam Cross Street,Bharath Infra Projects Pvt. Ltd.,59900000,50936512,Within budget,Rigid pavement PQC M40 grade | Dowel bars (32mm dia MS) | Tie bars (16mm dia) | Joint sealant (Polyurethane) | Sub-base GSB (Granular Sub-Base) | Drainage cells (HDPE honeycomb) | Pre-fabricated expansion joints | Solar-powered road markers,13-Jul-2024,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,15-Jul-2024,Passed,Crash barrier installation inspected. Meets MORTH standards.,28-Oct-2024,Passed,Stormwater drains clear and functional. No ponding observed during simulation.,12-Sep-2023,06-Oct-2024,16-Nov-2024,03-Apr-2025
RW055,Vikram Bypass Road,Pandian Road Builders,47200000,45244797,Within budget,Bituminous Macadam (BM) Grade 2 | Dense Bituminous Macadam (DBM) | Steel reinforcement bars (Fe500) | Portland Pozzolana Cement (PPC) | Coarse aggregates (20mm & 40mm) | Kerb stones (Granite) | Thermoplastic road marking paint | Reflective studs,26-May-2021,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,27-Jun-2021,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",10-Mar-2022,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,13-Oct-2020,27-Jan-2022,08-Mar-2022,28-May-2024
RW056,Lal Bahadur Extension Road,Pandian Road Builders,41900000,40743000,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,04-Nov-2019,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",18-Apr-2020,Conditional Pass,Reflective road studs missing at 2 km mark. Install and re-inspect. Rest of road approved.,10-Sep-2020,Passed,Stormwater drains clear and functional. No ponding observed during simulation.,24-Jul-2019,17-Jul-2020,25-Aug-2020,08-Dec-2020
RW057,Meenambakkam Salai,Sterling Road Builders,41600000,40364808,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,24-Jul-2024,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",12-Nov-2024,Passed,Riding quality index satisfactory. Surface texture depth adequate.,30-Jan-2025,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,08-May-2024,15-Jan-2025,25-Feb-2025,29-Apr-2025
RW058,Tagore Street,Lakshmi Infra Pvt. Ltd.,25000000,24411984,Within budget,Bituminous Macadam (BM) Grade 2 | Dense Bituminous Macadam (DBM) | Steel reinforcement bars (Fe500) | Portland Pozzolana Cement (PPC) | Coarse aggregates (20mm & 40mm) | Kerb stones (Granite) | Thermoplastic road marking paint | Reflective studs,27-May-2021,Failed,Concrete surface shows honeycombing near culvert. Grouting and repair directed.,04-Jul-2021,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,03-Apr-2022,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,26-Oct-2020,07-Mar-2022,20-Mar-2022,14-Apr-2023
RW059,Raman Salai,Chennai Metro Infra Ltd.,47100000,41623031,Within budget,Fly ash concrete (M25) | Bottom ash sub-base | PVC expansion strips | Silica fume admixture | Micro-silica blended cement | Reinforced earth retaining walls | Concrete interlocking pavers (footpath) | Cast iron manhole covers (Class D),24-Jan-2020,Passed,Crash barrier installation inspected. Meets MORTH standards.,15-Apr-2020,Passed,Load deflection within permissible limits as per IRC:58-2015.,01-Jun-2020,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,21-Oct-2019,16-May-2020,24-Jun-2020,07-Jul-2022
RW060,Srinivasa Salai,Lakshmi Infra Pvt. Ltd.,43300000,38618473,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,02-Feb-2023,Passed,Sub-grade moisture content within limits. No swelling observed.,21-Apr-2023,Passed,Thermoplastic markings retroreflectivity tested and found satisfactory.,13-Aug-2023,Passed,Sub-grade moisture content within limits. No swelling observed.,14-Nov-2022,20-Jun-2023,29-Jul-2023,31-Aug-2024
RW061,Adyar Bridge Road,Sri Balaji Infrastructure Pvt. Ltd.,75400000,64175482,Within budget,Bituminous Macadam (BM) Grade 2 | Dense Bituminous Macadam (DBM) | Steel reinforcement bars (Fe500) | Portland Pozzolana Cement (PPC) | Coarse aggregates (20mm & 40mm) | Kerb stones (Granite) | Thermoplastic road marking paint | Reflective studs,04-Jul-2024,Passed,All manhole covers flush with road surface. No tripping hazards found.,12-Feb-2025,Passed,Joints sealed properly. No cracking observed. Road certified for use.,04-May-2025,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,08-Feb-2024,14-Mar-2025,24-Apr-2025,13-Mar-2025
RW062,Tagore High Road,Suresh & Sons Civil Works,53100000,54300000,"Overrun of Rs.1,200,000 approved. Reason: Scope addition for stormwater drainage",Concrete M30 grade | River sand (Zone II) | Coarse aggregate (20mm) | HDPE drainage pipes | Pre-cast kerb stones | Anti-skid bituminous surface dressing | Solar road studs | Stormwater drain gratings (Cast iron),20-Apr-2024,Passed,Thermoplastic markings retroreflectivity tested and found satisfactory.,27-May-2024,Passed,Geotextile fabric placement verified. No displacement observed.,12-Oct-2024,Passed,Geotextile fabric placement verified. No displacement observed.,06-Feb-2024,04-Oct-2024,03-Nov-2024,05-Apr-2025
RW063,Velachery Service Road,Green Road Solutions Pvt. Ltd.,38200000,34281449,Within budget,Concrete M30 grade | River sand (Zone II) | Coarse aggregate (20mm) | HDPE drainage pipes | Pre-cast kerb stones | Anti-skid bituminous surface dressing | Solar road studs | Stormwater drain gratings (Cast iron),14-Oct-2021,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,05-Dec-2021,Passed,Quality of base layer found satisfactory. Compaction density above 98% Proctor.,15-Feb-2022,Passed,Joints sealed properly. No cracking observed. Road certified for use.,17-Aug-2021,23-Dec-2021,11-Jan-2022,22-May-2024
RW064,Saidapet Link Road,Pandian Road Builders,47000000,46137120,Within budget,Concrete M30 grade | River sand (Zone II) | Coarse aggregate (20mm) | HDPE drainage pipes | Pre-cast kerb stones | Anti-skid bituminous surface dressing | Solar road studs | Stormwater drain gratings (Cast iron),06-Mar-2023,Passed,Crash barrier installation inspected. Meets MORTH standards.,05-Apr-2023,Passed,Load deflection within permissible limits as per IRC:58-2015.,08-Jul-2023,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,14-Oct-2022,11-May-2023,20-Jun-2023,13-Oct-2023
RW065,Rajiv Avenue,Coastal Roads & Builders Ltd.,11800000,10843815,Within budget,Concrete M30 grade | River sand (Zone II) | Coarse aggregate (20mm) | HDPE drainage pipes | Pre-cast kerb stones | Anti-skid bituminous surface dressing | Solar road studs | Stormwater drain gratings (Cast iron),30-Dec-2020,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,12-Jan-2021,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,06-Jun-2021,Passed,Sub-grade moisture content within limits. No swelling observed.,25-Apr-2020,25-Apr-2021,13-May-2021,12-Sep-2022
RW066,Gokhale Inner Ring Road,Maha Infrastructure Pvt. Ltd.,18100000,16945062,Within budget,Rigid pavement PQC M40 grade | Dowel bars (32mm dia MS) | Tie bars (16mm dia) | Joint sealant (Polyurethane) | Sub-base GSB (Granular Sub-Base) | Drainage cells (HDPE honeycomb) | Pre-fabricated expansion joints | Solar-powered road markers,21-Nov-2019,Passed,Thermoplastic markings retroreflectivity tested and found satisfactory.,21-Dec-2019,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,24-Jul-2020,Passed,Thermoplastic markings retroreflectivity tested and found satisfactory.,09-Mar-2019,25-May-2020,27-Jun-2020,05-May-2021
RW067,Kamarajar Loop Road,Tamil Nadu Road Dev. Corp.,27400000,26930405,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,28-Jun-2020,Failed,Cracks observed near junction box. Polymer-modified bitumen filling directed.,06-Jul-2020,Passed,Sub-grade moisture content within limits. No swelling observed.,09-Sep-2020,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,07-Jul-2019,08-Sep-2020,01-Oct-2020,18-Oct-2022
RW068,Periyar Junction Road,National Highway Infra Builders,68000000,66079500,Within budget,Reclaimed Asphalt Pavement (RAP) mix with virgin bitumen VG-40 | Stone matrix asphalt (SMA) top layer | Anti-stripping agent | Bituminous macadam (BM) Grade 1 | RCC box drains | Pre-cast concrete medians | Glass bead road marking | Steel crash barriers (W-beam type),22-Jun-2023,Passed,Quality of base layer found satisfactory. Compaction density above 98% Proctor.,20-Jul-2023,Conditional Pass,Joint sealing incomplete at 3 locations. Surface texture satisfactory. Close in 2 weeks.,20-Nov-2023,Passed,Quality of base layer found satisfactory. Compaction density above 98% Proctor.,05-May-2023,17-Oct-2023,27-Oct-2023,03-Nov-2024
RW069,Royapettah Bypass Road,Pandian Road Builders,41100000,42000000,"Overrun of Rs.900,000 approved. Reason: Unexpected soil stabilisation requirement",Lime-treated soil (sub-base) | Wet Mix Macadam (WMM) | Bituminous Concrete (BC) Grade 1 | Fly ash bricks (side drains) | White retro-reflective paint | Flexible delineators | RCC manholes | Geotextile fabric,15-May-2023,Passed,Sub-grade moisture content within limits. No swelling observed.,06-Oct-2023,Passed,Drainage channels functional. Road markings and signage verified.,29-Jan-2024,Passed,Crash barrier installation inspected. Meets MORTH standards.,28-Feb-2023,30-Dec-2023,11-Feb-2024,04-Sep-2024
RW070,Arumbakkam Bypass Road,Chennai Metro Infra Ltd.,12400000,12117592,Within budget,Polymer Modified Bitumen (PMB 40) | Modified Bituminous Concrete (MBC) | Basalt fibre reinforcement | Warm mix asphalt additive (Evotherm) | Recycled concrete aggregate (30% blend) | Tactile paving blocks | High-visibility road studs | Galvanised steel guard rails,01-Jun-2021,Passed,Crash barrier installation inspected. Meets MORTH standards.,11-Jun-2021,Passed,Riding quality index satisfactory. Surface texture depth adequate.,26-Aug-2021,Passed,Riding quality index satisfactory. Surface texture depth adequate.,09-Sep-2020,30-Jul-2021,10-Aug-2021,09-Jan-2022
RW071,Kodambakkam Canal Road,KSR Infrastructure Pvt. Ltd.,14700000,13779845,Within budget,Fly ash concrete (M25) | Bottom ash sub-base | PVC expansion strips | Silica fume admixture | Micro-silica blended cement | Reinforced earth retaining walls | Concrete interlocking pavers (footpath) | Cast iron manhole covers (Class D),25-Dec-2022,Passed,Drainage channels functional. Road markings and signage verified.,29-Dec-2022,Passed,Drainage channels functional. Road markings and signage verified.,15-May-2023,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,28-Jan-2022,27-Apr-2023,27-May-2023,18-Sep-2024
RW072,Karunanidhi Inner Ring Road,Lakshmi Infra Pvt. Ltd.,31300000,30230751,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,07-Dec-2021,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",04-Jan-2022,Passed,Riding quality index satisfactory. Surface texture depth adequate.,18-Sep-2022,Passed,Riding quality index satisfactory. Surface texture depth adequate.,01-May-2021,07-Aug-2022,23-Aug-2022,07-Oct-2023
RW073,Bharathiyar Salai,Vel Murugan Builders,17800000,16058635,Within budget,Lime-treated soil (sub-base) | Wet Mix Macadam (WMM) | Bituminous Concrete (BC) Grade 1 | Fly ash bricks (side drains) | White retro-reflective paint | Flexible delineators | RCC manholes | Geotextile fabric,05-Apr-2022,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,26-May-2022,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,20-Jun-2022,Passed,Load deflection within permissible limits as per IRC:58-2015.,13-Feb-2022,13-Jun-2022,28-Jul-2022,23-May-2024
RW074,Nungambakkam East Coast Road,Metro Build Solutions Pvt. Ltd.,67100000,58488535,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,14-Mar-2021,Failed,Riding quality index below acceptable value. Surface reworking required.,10-Jul-2021,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,02-Oct-2021,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,04-Apr-2020,09-Sep-2021,25-Sep-2021,17-Dec-2022
RW075,Nehru Canal Road,Bharath Infra Projects Pvt. Ltd.,75300000,66824433,Within budget,Lime-treated soil (sub-base) | Wet Mix Macadam (WMM) | Bituminous Concrete (BC) Grade 1 | Fly ash bricks (side drains) | White retro-reflective paint | Flexible delineators | RCC manholes | Geotextile fabric,14-Sep-2020,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,07-Feb-2021,Passed,Riding quality index satisfactory. Surface texture depth adequate.,16-Oct-2021,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,13-Jul-2020,05-Oct-2021,03-Nov-2021,14-Jan-2023
RW076,Nehru Salai,Arunachalam Road Works,62300000,56616779,Within budget,Reclaimed Asphalt Pavement (RAP) mix with virgin bitumen VG-40 | Stone matrix asphalt (SMA) top layer | Anti-stripping agent | Bituminous macadam (BM) Grade 1 | RCC box drains | Pre-cast concrete medians | Glass bead road marking | Steel crash barriers (W-beam type),11-Mar-2020,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,03-Aug-2020,Conditional Pass,Joint sealing incomplete at 3 locations. Surface texture satisfactory. Close in 2 weeks.,23-Oct-2020,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,19-Nov-2019,24-Aug-2020,22-Sep-2020,29-Dec-2022
RW077,Ambedkar Salai,Tamil Nadu Road Dev. Corp.,53300000,48929007,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,26-Jul-2021,Passed,Sub-grade moisture content within limits. No swelling observed.,06-Oct-2021,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",04-Jan-2022,Passed,Geotextile fabric placement verified. No displacement observed.,28-Apr-2021,13-Dec-2021,05-Jan-2022,17-May-2024
RW078,Nungambakkam High Road,Blue Sea Constructions Pvt. Ltd.,48400000,41511202,Within budget,Dense Bituminous Macadam (DBM) Layer I & II | Open graded premix carpet (OGPC) | Bitumen VG-30 | Crushed stone aggregate (10mm & 6mm) | Cement concrete kerbs | Epoxy road marking paint | Speed breaker rubber pads | PVC stormwater pipes (315mm dia),13-Dec-2020,Failed,Road marking retroreflectivity below minimum value. Re-marking directed.,21-Jan-2021,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,15-Apr-2021,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,09-Sep-2020,26-Mar-2021,13-Apr-2021,02-Sep-2023
RW079,Chromepet Junction Road,Sun Infra Builders Ltd.,31500000,30450092,Within budget,Reclaimed Asphalt Pavement (RAP) mix with virgin bitumen VG-40 | Stone matrix asphalt (SMA) top layer | Anti-stripping agent | Bituminous macadam (BM) Grade 1 | RCC box drains | Pre-cast concrete medians | Glass bead road marking | Steel crash barriers (W-beam type),01-Jul-2019,Failed,Road marking retroreflectivity below minimum value. Re-marking directed.,21-Nov-2019,Passed,Sub-grade moisture content within limits. No swelling observed.,13-May-2020,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,28-May-2019,16-Mar-2020,28-Mar-2020,15-Sep-2021
RW080,Valasaravakkam Bridge Road,Metro Build Solutions Pvt. Ltd.,49400000,50500000,"Overrun of Rs.1,100,000 approved. Reason: Scope addition for stormwater drainage",Fly ash concrete (M25) | Bottom ash sub-base | PVC expansion strips | Silica fume admixture | Micro-silica blended cement | Reinforced earth retaining walls | Concrete interlocking pavers (footpath) | Cast iron manhole covers (Class D),10-Apr-2022,Passed,Geotextile fabric placement verified. No displacement observed.,05-Dec-2022,Passed,Riding quality index satisfactory. Surface texture depth adequate.,03-Jan-2023,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,31-Jul-2021,28-Dec-2022,30-Jan-2023,29-Jul-2023
RW081,Nungambakkam Cross Street,Blue Sea Constructions Pvt. Ltd.,42100000,36235180,Within budget,Concrete M30 grade | River sand (Zone II) | Coarse aggregate (20mm) | HDPE drainage pipes | Pre-cast kerb stones | Anti-skid bituminous surface dressing | Solar road studs | Stormwater drain gratings (Cast iron),06-May-2022,Failed,Cracks observed near junction box. Polymer-modified bitumen filling directed.,19-Jul-2022,Passed,All manhole covers flush with road surface. No tripping hazards found.,23-Dec-2022,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,22-Dec-2021,08-Dec-2022,30-Dec-2022,09-Apr-2025
RW082,Anna Nagar Outer Ring Road,Kavi Civil & Infrastructure Co.,65700000,59974030,Within budget,Fly ash concrete (M25) | Bottom ash sub-base | PVC expansion strips | Silica fume admixture | Micro-silica blended cement | Reinforced earth retaining walls | Concrete interlocking pavers (footpath) | Cast iron manhole covers (Class D),24-Nov-2022,Passed,Joints sealed properly. No cracking observed. Road certified for use.,21-May-2023,Passed,Sub-grade moisture content within limits. No swelling observed.,02-Oct-2023,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,09-Aug-2022,28-Sep-2023,28-Oct-2023,11-Apr-2025
RW083,Royapettah Extension Road,Durai Constructions & Co.,39700000,33954021,Within budget,Reclaimed Asphalt Pavement (RAP) mix with virgin bitumen VG-40 | Stone matrix asphalt (SMA) top layer | Anti-stripping agent | Bituminous macadam (BM) Grade 1 | RCC box drains | Pre-cast concrete medians | Glass bead road marking | Steel crash barriers (W-beam type),23-Oct-2023,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,04-Apr-2024,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,31-May-2024,Passed,Crash barrier installation inspected. Meets MORTH standards.,31-Aug-2023,23-Apr-2024,07-May-2024,07-Mar-2025
RW084,Vikram Cross Street,Chennai Metro Infra Ltd.,56700000,55797400,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,12-Oct-2019,Failed,Kerb stones found misaligned at multiple locations. Reset and re-bedding required.,13-Jun-2020,Passed,Crash barrier installation inspected. Meets MORTH standards.,27-Jan-2021,Passed,Geotextile fabric placement verified. No displacement observed.,31-Jul-2019,17-Dec-2020,17-Jan-2021,18-Apr-2023
RW085,Vadapalani Canal Road,Vignesh Road Works Ltd.,45200000,40210150,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,28-Sep-2023,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,17-Nov-2023,Passed,Load deflection within permissible limits as per IRC:58-2015.,28-Jan-2024,Passed,Joints sealed properly. No cracking observed. Road certified for use.,06-May-2023,24-Jan-2024,06-Feb-2024,22-Mar-2025
